e2e_latency,wsc_slack_ratio,temporal_rda_ratio,lateness_mode,num_cores,fn,throughput
0.08,75.00,5.00,ignore,305,glb,1
0.08,75.00,5.00,ignore,305,dyn,7
0.08,75.00,5.00,all_soft,305,glb,9
0.08,75.00,5.00,all_soft,305,dyn,7
0.08,75.00,5.00,ignore,355,glb,3
0.08,75.00,5.00,ignore,355,dyn,7
0.08,75.00,5.00,all_soft,355,glb,9
0.08,75.00,5.00,all_soft,355,dyn,7
0.09,75.00,5.00,all_soft,335,glb,9
0.09,75.00,5.00,all_soft,335,dyn,7
0.09,75.00,5.00,ignore,335,glb,3
0.09,75.00,5.00,ignore,335,dyn,7
0.08,75.00,5.00,ignore,405,glb,5
0.08,75.00,5.00,ignore,405,dyn,9
0.08,75.00,5.00,all_soft,405,glb,9
0.08,75.00,5.00,all_soft,405,dyn,9
0.1,75.00,5.00,all_soft,250,glb,9
0.1,75.00,5.00,ignore,250,glb,1
0.09,75.00,5.00,all_soft,360,glb,9
0.09,75.00,5.00,all_soft,360,dyn,9
0.09,75.00,5.00,ignore,360,glb,3
0.09,75.00,5.00,ignore,360,dyn,9
0.1,75.00,5.00,all_soft,325,glb,9
0.1,75.00,5.00,ignore,325,glb,3
0.1,75.00,5.00,ignore,325,dyn,5
0.1,75.00,5.00,all_soft,325,dyn,5
0.09,75.00,5.00,all_soft,285,glb,9
0.09,75.00,5.00,all_soft,285,dyn,5
0.09,75.00,5.00,ignore,285,glb,1
0.09,75.00,5.00,ignore,285,dyn,5
0.1,75.00,5.00,all_soft,275,glb,9
0.1,75.00,5.00,ignore,275,glb,1
0.1,75.00,5.00,ignore,275,dyn,3
0.1,75.00,5.00,all_soft,275,dyn,3
0.1,75.00,5.00,all_soft,350,glb,9
0.1,75.00,5.00,ignore,350,glb,3
0.1,75.00,5.00,ignore,350,dyn,7
0.1,75.00,5.00,all_soft,350,dyn,7
0.09,75.00,5.00,all_soft,310,glb,9
0.09,75.00,5.00,all_soft,310,dyn,5
0.09,75.00,5.00,ignore,310,glb,3
0.09,75.00,5.00,ignore,310,dyn,5
0.1,75.00,5.00,all_soft,300,glb,9
0.1,75.00,5.00,ignore,300,glb,3
0.1,75.00,5.00,ignore,300,dyn,3
0.1,75.00,5.00,all_soft,300,dyn,3
0.08,75.00,5.00,ignore,330,glb,3
0.08,75.00,5.00,ignore,330,dyn,9
0.08,75.00,5.00,all_soft,330,glb,9
0.08,75.00,5.00,all_soft,330,dyn,9
0.08,75.00,5.00,ignore,380,glb,5
0.08,75.00,5.00,ignore,380,dyn,9
0.08,75.00,5.00,all_soft,380,glb,9
0.08,75.00,5.00,all_soft,380,dyn,9
0.09,75.00,5.00,all_soft,385,glb,9
0.09,75.00,5.00,all_soft,385,dyn,9
0.09,75.00,5.00,ignore,385,glb,5
0.09,75.00,5.00,ignore,385,dyn,9
